Puan,Yorum
"3,5","Sinemaya ağlamaya ya da gülmeye giden bir toplum olan Anadolu halkı,filmin gerisinde yatan derinliklere malesef yeterli bilinç ile yaklaşamamaktadır. Türk sinemasının Recep İvedik ve Ayla gibi iki zıt kutupta olan filmleri söylediğimizi haklı çıkarmaktadır.  Her ikisi de rekor kırmış ve kırmaktadır. Ayla filmi sahneleri ve duygusallığı ile seyircinin filmden kopmasının her an her saniye  önüne geçmiştir. Aslında film bir savaşı anlatırken ve savaşın nihayetinde yetim,kimsesiz çocuklar bıraktığını görürken bunu ön plana çıkarmayı seçmemiştir. Ayla üzerinden Güney Kore'nin haklılığı ve Kuzey Kore'nin yani komünistlerin haksızlığı ifade edilmiştir. Filmin derinlerinde yatan siyasi bilinç altı bunu göstermektedir. Kore halkının birbirini katletmesini körükleyen ABD emperyalizmi,yoksul Türk askerini de her zamanki gibi cepheye sürmektedir. Bu savaş sonrasında Türkiye'nin NATO'ya alındığını da dip not olarak aktaralım.  Film oyuncuları GALA gecesinde  her ne kadar savaş karşıtlığından söz etse de malesef filmde Ayla'ya üzülmekten ve ağlamaktan başka bir öneri getirmemektedir. Güney Kore'de Ayla gibi yetim kalan çocuklara üzülürken,Kuzey Kore'deki çocuklar aklımızın ucuna dahi gelmedi. Çünkü onlar ''komünistti''. Film malesef  1950 siyasetini ve ABD emperyalizmini hiç eleştirmeden aksine o dönemin kararlarını doğru bularak ilerliyor. Türk askeri bilmediği topraklarda ölüyor ve kahraman ilan ediliyor. Asıl eleştiri hem Güney hem Kuzey hem de Türk askerinin ABD emperyalizmi tarafından nasıl kullanıldığını,nasıl milyonlarca çocuğun yetim bırakıldığını anlatmak olmalıydı. Sadece Güney'in değil,Kuzey'in de Ayla'larına ağlamalıydık."
"4,5",Film mi çok begendim yalnız ilk baştan hersey detaylı güzel anlatılmış. Son 30 dksını ise filmi bittirmek için gerçeklik payını artırmak için çok kötü çekilmiş veer zaara diye bir hint filmi vardır keske sonu oyle bittesydi daha guzel ve duygusal olur. Oscar odulu alırmı bilmem ama filmde ABD taraflığı oscara artı puan getirebilir.
"3,0","Ayla güzel bir film hiç kuşkusuz. Bunun sebebi hikayenin gerçekçi olması ve küçük kızın başarılı oyunculuğu.   Her şeyden önemli şöyle bir durum var. Bu film HOLLYWOOD'a sipariş edilmiş bir film. Bunu anlamamak mümkün değil. izledim ama yarısında çıktım. Filmle ilgili yorum yapmak istemiyorum ama egoist bir yapımcı yüzünden bu film Oscar alamaz. Almasını çok istiyordum ama gerçekten almasın. Mustafa Uslu bir röportajında: ''Ayla kesin oscarı alacak almaması imkansız alacak alacak'' gibi şeyler demiş. Yazık... Sinema yapan bir yapımcının düştüğü duruma bak. Mustafa Uslu'yu mütevazi olmaya davet ediyorum. Sırf bu sözlerinden dolayı üzülüyorum kendisine. Çaylak bir yapımcı olduğu belli. Elindeki filmide bu sözleri yüzünden çöpe atacak. Gişe yapmış ödül almış önemli deü,Ayla'nın oyuncularını da tebrik ediyorum. Özellikle Senaristini. Senaristi ödül alsın."
"5,0",MÜKEMMEL ÖTESİ KESİN GİDİN AĞLAMAK İSTEYEN GİDEBİLİR  ÇOK BEĞENDİM O KADAR SAF DUYGALARLA HİKAYEYİ BOZMADAN YAPILMIŞ TEBRİKLER AYLA 
"5,0","Çok güzel çok beğendim, Türk sinemasında son dönemlerde çıkmış en iyi filmler arasına kolaylıkla gireceğini düşünüyorum  bence izlemelisiniz"
"5,0","filmin başlarında biraz güldüm sonra burnumdan geldi. Sonuna kadar şarıl şarıl ağla babam ağla , iflahım kurudu. dehşet-ül vahşet"
"5,0","Spectacular.. Muhteşem en etkilendiğim, en çok beğendiğim Türk filmi.. Gerçek hikayeden, muazzam bir film başarılmış.. İçten dileklerimle Tebrikler..."
"5,0",Efsane bi film olmuş gitmeyi düşünen arkadaşlar kesinlikle kaçırmayın oscara aday bi film zaten oscar da kazanacak nitelikte tebrik ederim emeği geçen herkesi 
"5,0",Süper bir film çok begencim hem savaş hemde güzel duyguları çok güzel yansımış konsept muhen mel hersey çok güzeldi bu başarılı filmi yapanları canı gönülden kutluyorum
"5,0",Ülkemde böylesi kaliteli cekimlere sahip filmler görmek beni mutlu ediyor umarım bu ve bunun gibi filimlerin devami gelir
"5,0",Bu zamana kadar izlediğim en iyi sinema filmiydi. Filmin yarısını ağlayarak geçirdim zaman zaman güldüm cok samimi sıcak ve mukemmel bi filmdi tekrar tekrar sıkılmadan izleyebilirim.
"5,0","eğer bu filme Oscar ödülü gelmezse yalnızca Türk ırkçılığı yaptıkları içindir. Yazan, yöneten,oynayan gerçeği bu derece yansıtan muhteşem bir film. İzlediğim en özel ve en güzel film."
"5,0","Türk sinemasına yakışır bir film akıcı, duygusal,  adamlar yapmış abi izleyin  hata izlettirin Not  kızlar biraz daha sesiz ağlasanız iyi olur."
"5,0",Bu film sayedinde ilk defa bir filmin sonunda insanların kendini tutamayıp alkışladığını gördüm......
"5,0",Ayla ve süleyman karakterleri gerçekliği ve insanlığı ile yüreğinize defalarca dokunacak. Film gerçekten duygu yüklü ve kaliteliydi izlenmesi gereken yapıtlardan.
"5,0",İşte aylardır beklediğimiz film bu diyorum.Bu yıla damgası vuracağı şimdiden belli olmuş. 2017 yılının en iyi filmi denebilir.
"5,0",film boyunca hem güldük hem agladik..biz erkekler olarak da agladik ama film bittiğinde  ışıklar yandığında kızları görmeniz lazımdı. ..sanki sevgilileri dövmüş hepsini  :) aglamaktan koltuklarına gömülmüşler ...harika bir film olmuş. .giderken zorla götürdüler. .normalde türk filmlerine sinemaya gitmiyorum.  yapamiyolar o kadar para veriyorsun yazik günah. .ama bu film emegi gecen herkesten Allah razı olsun..
"5,0","Oscarlık olması isabet olmuş.İzlediğim en iyi filmlerden biri.Bir filmde hiç bu kadar çok ağlamamıştım.Anlatılmak istenenler abartılmadan anlatılmış.Mükemmel diyebileceğim bir film, yapanların emeklerine sağlık.."
"5,0",Kızından ayrıYaşamak zorunda kalanlar filmi izlerken üzüntüden ölebilirsiniz. Gurur ve hüznü baştan sona yaşatıyor
"5,0",film boyunca gözümden yaşın eksik olduğu bir saniye bile olmadı. bu kadar güzel bir hikaye ancak bu kadar güzel işlenebilirdi. tek kelimeyle bayıldım. izleyin izlettirin efenim
"5,0","Muhteşem bir filmdi. İnsanın içine işleyen , derin yerlere dokunan .Gözyaşlarımı tutamadım filmin çoğunda. Böyle insanlar,Süleymanlar hep olsun ."
"5,0",Hayatında izlediğim en güzel filmlerin basında yer aldı.  Mutlaka izleyin her sahnesin de duygu barındıran muhteşem bir baba kız hikayesi. Ayrıca bir kez daha türk askerimizle ve türk olduğumuz için gurur duydum . Mutlaka izleyin ve izlettirin
"5,0","Bu filme girmek için verdiğim parayı kuruşu kuruşuna hak ediyorlar. Normalde pek sinemaya giden biri değilim, hatta hiç gitmem neredeyse. Ama bu film için ikinciye gideceğim. Filmin başlarında insanın gözünden akan bir-iki damla duygulanma yaşı, filmin sonunda hıçkırarak ağlamaya dönüşüyor... Kesinlikle herkesin gitmesi ve benimle aynı duyguları yaşaması gerekiyor..."
"5,0",Hayatımda izlediğim en mükemmel film olmalı. Gerçekten savaşın gerçek yüzünü yansıtıyor. Verdiğim parayı kuruşuna kadar hak ediyor. Herkesin izlemesi gereken bir film.
"5,0",Sahneler süper çekim çok kaliteli bir ara niye mendil almadım ki diye kendi kendime söylendim.babam ve oğlum filmine bu filim beş basar o kadar net.
"4,0",2 kere izledim HARİKA  ötesi emeginize saglık hayatımda izledigim en iyi film tarifi yok bence eşsiz bir filmdi cok teşekkür ler 
"5,0","Film görüntü kalitesiyle, senaryosu ve oyunculuguyla Sinemada izlemeye değer. Ismail Hacioglu ve Ali Atay cok basarili. Gercek bir hikaye olması, izlerken cok etkiliyor insani. Savaş sahneleri cok abartilmamis. Ancak Süleyman yaslandiktan sonra farkli bir film izliyorsun sanki ve bütün tılsım kayboluyor. Keske Süleyman döndükten sonra, yillar sonra tekrar buluşma sahnesiyle bitseydi. Neyseki Filmin sonundaki hikayenin gercek kahramanlarinin görüntüleri kurtardi isi. Herkesin emeğine sağlık umarım ödül aliriz bu filmle."
"4,0",Keşke Heath Ledger ölmeseysi. Bu filme Jokeri oynayacak abimiz malesef vefat etti.Heath Ledger olsaydı film muhteşem olacaktı.
"4,0",Filmi bugun izleme firsati buldum  yorumlamak gerekirse konusu fena degil alisilmis sehir kurtarma efsanesi  ama garip olan TARAF bu kadar basit bir konuyu dahi 2 saat 45 dakika gibi uzun süreye bu kadar kötü sigdirilir ve anlatilir uzun tutalim derken abartilmis biraz yer yer sikilmiyo degil insan ama bir adam varki  Christian Baleeeee yine almis filmii baska bir boyuta tasimis  bide bAne karakteri yani  Tom Hardy oda muhtesem oyunculuk sergilemis söylemezsek ayip olurdu ve son olarak filmi sinemada izleme imkani olanlar gitsinler çünkü çok iyi bir görsel sölene sahip filmi izlenir hale getiriyor neyse tavsiye ederim pisman olmazsiniz
"3,0",benim tarzım olmasada izlediğim ve beğendiğim bir film. christian bale için izlenir.
"1,5","Merhabalar DarKnight,Fikir alışverişinde bulunalım demişsin, olur :) Ben özellikle Kara Şövalye ve Kara Şövalye Yükseliyor filmlerinin izleyicilerinin Nolancılar, Jokerciler ve Batman hayranları olarak ayrıldığını düşünüyorum. Bunu biraz açayım. Nolan hayranları Nolan ne çekse, çamurdan da olsa onun tarzını beğenen, onu zeki bulan ve onun hiç ""hata"" yapmadığını, yapamayacağını düşünen bir kitle. Joker hayranları Kara Şövalye'yi Batman için değil, Joker için seven, dolayısıyla benim gibi Batman hayranları gibi Joker'in Batman'in önüne geçmesine tam aksine sevinen bir kitle. Yani Kara Şövalye'nin de bir sürü eksiği vardı ama bu onlar için önemli değil. Batman hayranlarına gelince ki onlardan biri ben oluyorum, biz bir Batman filmine Batman için gideriz, ondan sonra Batman'in kötülerle olan mücadelesi için, şunu demek istiyorum birbirinden renkli, birbirinden ilginç kötü adamlar vardır sen de bilirsin Batman çizgi romanında. Konuya dönersem, benim gibilerin Nolan'ın Batman filmlerini beğenmemesinin sebeplerinin başında işte Nolan'ın bu tarz şeylerle ilgilenmemesi geliyor. Yani Batman filmde kaç dakika görünmüş, Bane çizgi romandaki gibi iri, kaslı ve uzun boylu değil, Kedi Kadın'ın kostümü ne kadar olmuş? İki Surat son yarım saatte harcanmış harcanmamış, Batman uçağıyla dolaşmaktan başka bir şey yapmıyor, bunlar Nolan'ın umurunda değil, çünkü onu tek ilgilendiren şey belki de gerçekçilik. Takım elbisesiyle bir matematikçi gibi sete geliyor ve Inception gibi yine buz gibi soğuk, mekanik, yarı otomatik bir film yapıyor. Sevgili DarKnight nickli arkadaş, biz şimdi bu filmde ne izledik sorarım sana? 165 dakika boyunca bir polisiye dram izledik. Yani Kara Şövalye'de olan şeyin aynısı hatta çok daha kötüsü oldu ve yine odağı Batman olmayan bir Batman filmi izledik (92 yapımı filmin aksine örneğin) Filmdeki neredeyse onlarca mantık hatasını yazmakla uğraşmayacağım bile, çünkü çok daha önemli sorunlarımız var. Nolan'ın ne amaçla seçtiği belli olmayan Kedi Kadın, senin de katıldığın üzere Bane'in büyük hayalkırıklığı yaratan finali ve bir anda Batman ve Robin'deki Bane'den bir farkının kalmaması, Gotham için yapılan planın alabildiğine klişe, basit ve yavan olması, bazı sahnelerde aşırı müzik kullanılması ve filmin adeta bir kuru gürültüye dönüşmesi, bir iki bölüm dışında filmin aksiyon içermemesi vs. Bu filmin kendi adıma bu kadar kötü olmasını sadece Nolan'ın gerçekçilik takıntısına bağlamıyorum, bir Batman filmi çekmemiş Nolan. Mantık olarak Batman Başlıyor'da ortaya çıkan Batman o filmde yeni yeni yükseldiği için o filmin adı Kara Şövalye Yükseliyor olmalıydı ve Batman geri planda olsa da olurdu. İkinci filmde Batman ipleri ellerine almalıydı. Bu son filmde de düşüşe geçmeliydi, The Dark Knight Falls ismi yakışırdı, ama şöyle oldu, Batman Başlıyor'da ekran süresi en uzun olan ve filmin esas kahramanı Batman'di. Kara Şövalye'de Joker açık ara Batman'in önüne geçti, Batman silikleşti. Üçüncü filmde ise adeta ortada yok. Orijinal Batman ve çizgi roman hayranlarının böyle bir yaklaşımı takdir etmesini beklememelisiniz."
"5,0","Her ne kadar aksiyon olsa da, filmi mükemmel yapan ilk etken şey oyunculuk. Bütün aktörlerin kendilerini göstereceği en az bir sahne vardı. Bale'in Batman'i nihai bir Batman, çünkü karakterdeki her özelliği filmde görebiliyoruz, savaşçı özelliği, kurnazlığı, taktiksel düşünme, ileriyi düşünerek hareket etme, zekice geliştirilmiş teknolojik buluş, korkutucu kişilik hatta biraz da olsa palavracılık.Heath'e gelince, Joker'i mükemmel yaptığı için bütün krediyi hak ediyor, ama Jonathan ve Christopher Nolan kardeşleri karakteri bu kadar mükemmel yazıp tedavi ettiğini de unutmayalım. Joker'i bu kadar tehlikeli gösteren sadece Ledger değil, Nolan kardeşler karakteri bu kadar aksiyon içine harika bir şekilde çeken kişiler. Joker'in kaosun üzerindeki duruşu, düzeni, anarşisi veya sıradan modern insanlığında ki ahlaki değerlere nasıl baktığı, karakteri bu kadar psikolojik derecede ilginç yapan şey bunlar. Nolan kardeşler işte bu kadar karışık, sadece mükemmel bir performansın üstesinden geleceği bir karakter yaptılar. Bu rolü oynamak bu kadar zordu işte o yüzden Ledger'ın performansı bu kadar mükemmeldi.Bu başyapıt aksiyon filmi filan değil, düzen ve anarşi içinde kahramanın ve kötü adamın edebi temasını keşfeden bir film, tüm diyalogları dinleyin/okuyun hepsi filmin içinde.Christopher Nolan kendisini hiç unutturmayacak film yapmış, bu film adamın tacı. Mükemmel yönetmenlik, mükemmel hikaye, dram ve aksiyon arasındaki mükemmel denge... Herşey mükemmel.Sadece Batman serilerinin üzerine yapılan en iyi film değil, sinema tarihinde yapılmış en iyi 6 filmden biri."
"4,0","İlk 2 filmin ardından, bitişi nasıl yapabilirler acaba diye düşünüyordum. Maalesef kalite olarak asla 2 filme yaklaşamaz fakat yine de Batman karakterini çok iyi bir şekilde perdeye aktaran bir film olmuş. Senaryoyu beğendiğimi söyleyemem, klişe bir senaryosu vardı. Kötü karakteri çok güzel işleyerek, izleyiciyi germeyi başarmışlar. Bazı yerlerde heyecanlandırıp, aksiyonu çok yüksek olmasa bile tatmin edici derecedeydi. Ters köşe yapmaya çalışmışlar fakat ne bununla ilgili film boyunca azıcıkta olsa merak ettirecek bir şey vermemişler. Bu yüzden havada kaldığını ve en ufak heyecan bile duymayarak, sevmediğimi belirtmek zorundayım. Fakat bu gibi olayların haricinde film, genel olarak güzeldi. Gerilim dozu yüksek, aksiyonu iyi, başarılı bir üçlemeydi. Teşekkürler Nolan."
"4,0","Çekimleriyle, Görsel Efektleriyle, Senaryosuyla ve Oyunculuklarıyla dört dörtlük muazzam bir filmdi. Bu güne kadar izlemediğim için kendime kızıyorum. Bu film için ne desek az kalır. Kurgunun işlenişi çok akıllıca ve realistik. Önceki Batman filmlerinde de olduğu gibi; Christopher Nolan, zekasını ve ustalığını bu filmde de ön plana çıkarmış.. 2. Film'in ve Heath Ledger'in bende ayrı bir yeri var tabikide, Ama bu film'in de ilk 2 filmden ayrı kalır bir tarafı yok bana göre. Ayrıca İlk iki film'e göre daha fazla aksiyon barındıran bir film olduğunu düşünüyorum. Bu film'de, gizli kalmış ve sizi şaşırtacak bazı önemli bilgileri öğreniyorsunuz. Açıkçası Joker gibi uçuk kaçık bir karakterden sonra, Bane isimli karaktere çok önyargılı yaklaşıyordum, Film'i izledikten sonra önyargılarımın boşuna olduğunu gördüm. Elbette ki Heath Ledger'in oyunculuk performansı hiç kuşkusuz en iyisiydi; Ama Bane isimli karakterinde başarısını göz ardı etmemek gerekli.. Hiç beklemediğim ve bende etki bırakan bir kapanışla sonlanan bir filmdi.. Patlama sahnelerini ve daha birçok sahneyi ağzım açık izledim. Bu film'in üzerinde bir uğraş olduğu bariz belli. Bu film'e Fiyasko diyenler, acaba ne beğeniyor merak ediyorum.. İzleyin, İzlettirin diyorum. 4.0/5"
"5,0",Anne Hathaway'in de Selina Kyle rolüyle muhteşem kadroya dahil olması ve Marion Cotillard'ın harika oyunculuğuyla perçinlenen son Batman filmi yeni bir C. Nolan şaheseri değil de nedir!...
"5,0","Sinemanın doruk noktası...Nolan sadece Batman üçlemesi ile bile tarihe geçmeyi hak ediyor. Muhteşem bir final hazırlamış bizlere. Senaryo, oyunculuklar, hikaye, aksiyon kusursuz...Sizi yerinize çiviliyor iki buçuk saat boyunca. Hiç bitmesin istediğiniz filmlerden...Kesinlikle bir dahinin elinden çıkma bir iş bu...Kelimeler ile filmi açıklamaya gerek yok, seriyi en başından izlemek lazım, her şeyiyle bağlantılı ilerliyor çünkü hikaye. Yani izleyiciler doğrudan bu filmle veya The Dark Knight ile başlama gibi bir hata yapmasın. Son dönemin, ve hatta önümüzdeki bayağı bir dönemin de parmakla gösterilecek filmlerinden.  Doyumsuz bir sinema şaheseri...Yalnızca bir çizgi roman uyarlaması değil. Yani bir Thor, bir Iron Man, hatta bir Spiderman değil bu. Nolan inanılmaz bir hava, inanılmaz bir yorum getirdi Batman'e. Bu alt tür içinde bir devrim de diyebiliriz buna. Umalım da kendinden sonra çekilecek bazı filmleri etkilesin..."
"2,5",başlarda sıksa da ilerleyen bölümlerde biraz daha izlenebilir hale geliyor ama yine de hayal kırıklığı benim için 5/10
"4,5","Christopher nolan ın yükü bu filmde çok ağırdı zira bundan önceki filmin müthiş olması buna yol açtı yani    dark night rises çok iyi bile olsa dark knight bir dönüm noktası olduğu için beklentilerde hep yüksek olucaktı nese filme gelirsek klasik bir açılış nolan vari sonra elden ayaktan düşmüş bir bruce wayne alışılmış batmanlerin aksine bu filmde batman daha bir geri planda artık pek bir süper kahraman falanda değil dayak yiyor,kemikleri kırılıyor,madara oluyor.Bunun dışında müzikler mükemmel anne hathaway filme ayrı bir hava katmış ve hem seksiliğini hem de oyunculuğunu konuşturmuş.Bane in ölümü çok aceleye getirilmiş sonunu beğendim robin e yer açmışlar eksikleri yok mu tabiki var birebir dövüş sahneler yetersiz vs vs ama yinede mükemmel bir yapım duruyor karşımızda,kesinlikle sinemada izleyin.9/10"
"4,0","Christopher Nolan’ın bu filmi çekerken ikinci bölümü model aldığını düşünüyorum.Tıpkı ‘’The Dark Knight’’a benzeyen bir açılış ve filmin kötü karakteri etrafında bir mit yaratma çabası…Bu film boyunca da devam ediyor aslında ama öncülü kadar başarılı olduğunu söyleyebilmek güç.Hem Bane’in karakter olarak Joker kadar renkli olmaması,hem Ledger ve Hardy arasındaki yetenek farkı,hem de filmin genelinde de yaşanılan senaryo arızaları bunun nedeni.Saydıklarım dışında filmin bir Christopher Nolan filmine yakışmayacak kadar sorunlu bir kurgusu ve yeterince uzun süresine karşın havada kalan,aceleyle oldu-bitti mantığıyla çekilmiş bölümleri var.
spoiler: 
 Bruce Wayne'in kapatıldığı yerde kırık belinin ufak bir yöntemle tedavi edilip hemen ayağa kalkabilmesi, oradan kurtulup bir anda adeta Gotham'a ışınlanması,kendisini Bane'e teslim eden Selina'yı nedensiz affetmesi...
 Bunun gibi bir kaç şey daha.Ayrıca Nolan'ın alamet-i farikası olmuş sürprizlerinin etkileyilik dozu hayli düşük bu sefer.İyi bir film sonuçta ama bir o kadar da sorunları var maalesef.İlk iki bölümün gerisinde kalıyor."
"3,5","3 senedir bu filmin gelmesini 4 gözle beklediğimden , insanüstü bir beklenti oluştu tabi . O beklentilerimi kesinlikle karşılamadı film . Havada kalan çok kısım var , klişe bölümler var , harcanan karakterler var , bahsi bile geçmeyen durumlar var (spoiler olmasın diye yazmıyorum ) ... O beklediğimiz epik final durumları kesinlikle yok . Serinin son filmi olmasından dolayı insan daha keskin bir final bekliyor , açık kapı bırakılmasın diyor ama filmde kapanan kapı yok resmen ... Her neyse biraz iyi yönlerinden bahsedeyim . Film tam bir Batman filmi olmuş . Batman üzerine . 2. filmdeki Jokerin Batmani bırakın , filmin önüne geçme durumu yok . Kötü adam kontenjanındaki Bane oldukça karizmatik bir kötü olmasına rağmen Batman'in önünde değil kesinlikle ... Catwoman'da gayet yakışmış filme . Benim pek bir beklentim olmamasına rağmen beğendim oldukça ... Film çok kaliteli aksiyon sahneleri de içeriyor ...  Müzikleri çok iyi ... Ve filmin en beğendiğim bölümü , inanılmaz bir atmosfere sahip . O anarşi ve kaos içindeki Gotham tasviri çok başarılı . Hapishane bölümleri muhteşem ... Oyuncuların hepsi başarılı oynamış ayrıca . Sırıtan bir oyuncu yok . Ama tabi ki Tom Hardy ve Christian Bale biraz öne çıkmış o konuda ... Genel olarak bakarsak Batman Begins'ten iyi , The Dark Knight'tan kötü olan çok emek harcanmış , iyi bir film . Ama dediğim gibi benim beklentilerimi tam olarak karşılamadı ... 5/3.5 ..."
"3,0","Dikkat! Okuyacağınız bu değerlendirme, bu ve bir önceki Batman filmine dair sürprizbozanlar (spoiler) içermektedir. Benim beklentilerimin altında kalan bir film oldu ''The Dark Knight Rises''. Nolan ikinci filmden sonra hepimizi heyecanlandırmış ''bu adam, üzerinde bu kadar stüdyo baskısı varken bu filmi çekebiliyorsa kimbilir daha da özgür olabileceği (ikinci filmin başarısı Nolan'ı daha özgür kılar diye düşünmüştüm doğal olarak) üçüncü filmde ortaya nasıl bir efsane çıkartır?'' diye düşünerek 4 yıl bekledik. Ve ne yazık ki boşuna beklemişiz. Evet film kötü bir film değil. Hatta şu ana dek çekilmiş en iyi çizgi roman uyarlamaları arasında ilk 5'e de rahatlıkla girer. Ancak bu film ''Kara Şövalye'' gibi bir filmi sinemaya kazandırmış bir yönetmen için oldukça ortalama. Biz ''Kara Şövalye''yi neden sevmiştik? Çünkü yönetmen bütün çizgi roman uyarlamalarının tersine bir yola girmişti bu filmde. Bir filmde ilk defa kötüler kazanamıyordu. Joker, Rachel'ı öldürmüş, şehrin belki de tek umudu olan Harvey'i mahvetmişti. Batman ise aranan bir suçlu haline getirilmişti. Yani ikinci filmde Joker'in filmin sonunda yakalanması hariç ''iyiler'' tarafınında herkes kaybetmişti. İşte biz ikinci filmi bu cesaretinden ötürü sevmiştik esasen (tabii ki Joker karakterinin başarısıda kesinlikle yadsınamaz). Üçüncü film ise neredeyse bunun tam tersi. İkinci filmin cesaretinin yanına bile yaklaşamıyor. Film boyunca çok güçlü bir imaj çizen Bane karakteri filmin sonunda adeta madara ediliyor. Nolan, ikinci filmde kötü adamı neredeyse bir efsaneye dönüştürmüşken, bu filmde ise kötü adamı tek kelime ile harcıyor.  Filmin final sahnesinden bir önceki sahne ise evlere şenlik. Bruce Wayne ve Selina Kyle'ı kafede gördüğüm sahnede bir an ''Tiffany'de Kahvaltı'' yı mı yoksa ''Kara Şövalye Yükseliyor''umu izlediğime emin olamadım :) . İşin şakası bu film ikinci film kadar cesur olamadığı için yarınlara kalabilecek bir film olamayacak hiçbir zaman. Görsel olarak, aksiyon olarak eli yüzü düzgün bir film. Bane karakteri de finalde madara edilmesine rağmen (çok ama çok yanlış bir tercihle ''Romeo'' 'ya dönüştürülüyor Nolan tarafından) perdede görkemli bir karakter olarak yerini bulmak için elinden geleni yapıyor. Bunda en büyük başarı Tom Hardy'ye ait elbette. Sözün özü senaryodaki defolar, ''iyiler kazanır'' klişe finali yüzünden beklentilerimin altında kaldı film. Filmin kötü bir film olmasını engelleyen en büyük unsur ise Bane. Onu çıkarırsak elimizde zayıf senaryolu, ortalama bir aksiyon kalırdı galiba."
"4,0",Batman filmleri kalitesi gittikçe artıyor buna paralel olarak oyuncularında. Özellikle Christian Bale bence çok başarılı bir performans sergilemiş.
"3,0",İlk iki filmin başarısından uzak bir yapım.Bir defa önceki filmlere göre senaryo zıvanadan çıkmış.Mantık hataları çok.Amerikan milliyetçiliği ve kahraman polis mesajı rahatsız ediyor.Tom Hardy büyük bir aktör olduğunu Bane rolünde mükemmel oynayarak veriyor.Sinemada izlenmeli ancak büyük beklentilere girilmemeli.6/10
"4,0","Bugün gittim sinemada izledim.Filmden kesinlikle çok büyük beklentilerim vardi sonuçta üçlemenin son filmi ve son film oldugu için de vurucu olmali ama film beklentilerimi tam anlamiyla karsilamadi ya da söyle diyim The Dark Knight kadar iyi olmamis film.Öncelikle film uzun süresi olmasina ragmen nerdeyse bir an bile sikmadan izlettiriyor ayrica gerçekten saglam bir senaryosu var filmin.Eger The Dark Knight filmi çekilmis olmasaydi eminim bu filmi daha çok begenirdim ama filmi izledikten sonra insan ister istemez The Dark Knight ile karsilastirmak zorunda kaliyor ve filmin büyüsü orda biraz bozuluyor iste.Bu filmde Batman'i daha güçsüz ve daha insani özellikleriyle görme firsatimiz var ve Christian Bale yine çok iyi oynamis diyebilirim diger oyuncularda öyle.Film ne Inception kadar kaliteli ne de The Dark Knight kadar etkileyici degil ama yine de filmi izlerken keyif aliyorsunuz ve gerçekten ugrasilmis bir is oldugunu anliyorsunuz.Bane karakteri evet bir Joker degil ama ses tonu gerçekten güzel olmus.Filmin sonlarina dogru gerçekten sasirtici bir olay yasaniyor ben gerçekten sasirdim.Filmin soundtrackleri basarili.Son olarak ben filmi begendim diyebilirim evet bir The Dark Knight degil ama kaliteli bir senaryosu olan,sürükleyici,heyecanli bir Batman filmi olmus,sinemada izlenebilir.Filmin sonundaki sasirtici olay için puanimi biraz daha fazla veriyorum. 8/10"
"3,5","Serinin en zayıf halkası.Eski coşkusundan uzak, biraz daha donuk aksiyon sahneleri, olayların gelişimi..vs..Oyuncudur, senaryodur..vs. pek girmiyorum..Eşsiz müzikler, hoşuma giden dram yüklü sahneler ve seriye yakışacak türden bir final..Serinin en iyi filmi şüphesiz ""Dark Knight"" benim gözümde.."
"4,5","dark knight sonrası gelmesi tabiiki dezavantajına olmuş fakat bana göre başarılı bir son film..karakter kalabalığının yarattığı bazı eksikler var mesela kedi kadın ve robin karakteri az işlenebilmiş, motivasyonlar yerli yerinde, inandırıcı olay örgüsü, mükemmel sanat yönetimi ve müzik seçimleri.."
"4,5","Film, bir serinin 3. filmi olarak bakılarak çok iyi çok başarılı bir yapım. Özellikle müzikleri hafızamdan uzun süre çıkmayacak gibi. Film, serinin ikinci filmine göre daha farklı daha ciddi, tam bir sona yakışır şekilde çekilmiş.
spoiler: 
Tabi şu Bane şehri rehin aldıktan sonra kimsenin girememesine rağmen, Batman in hapishaneden çıkıp direk orda görülmesi olayına, nasıl oldu bu ya, desemde mantığı çok iyi oturtulmuş bir film"
"4,0",uzun süresine rağmen bir dakika bile sıkmayan bir kurgu..gerçekten çok kaliteli müzikler...insanı bulunduğu dünyadan alıp içine çeken bir atmosfer...bunlar filmin artı yönleri...bane ve batman in kapışmaları gerçekten basit olmuş özellikle final sahnesi...o sahnelerin üzerine daha iyi bi kareografi yapılsaymış çatlak sesler daha az çıkardı bence...ve tabiki enkaz altındaki polislerinde bi gram toz yutmadan çıkmalarıda göze çarpıyo...tünellerde iyi bi kuaför ve kuru temizleme var dı galiba...bunların dısında öyle çok ahım şahım bi eksiği yok bence filmin..yönetmen versiyonu çıkarsa ilerde daha iyi olacaktır..
"5,0",mükemmel...dün izledim buradaki yorumları okuyup gittim algı sorunu yaşadıklarını düşünüyorum filmin sonu nasıl açık kalmış ya:şehri kurtardı efsane oldu inzivaya çekildi robin devam edicek bu...bane süpperdi müziklere bayıldım nolan a bir saygı duruşu daha çakıp hafızama yaşattığı bu 5. jimnastik için sonsuz teşekkürler ediyorum..10/10/100/1000 ....
"2,0",Beklentilerimin çok çok altında. Sıkıldım resmen. Tavsiye etmiyorum izlemeyin.
